input,model,top0,top1,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top2,top3,top4,top5,top6,top7,top8,top9,right
财富之星额度会倾斜吗,topic,什么是固定额度和临时额度,固定额度和临时额度是指啥,附卡额度可以单独设置吗？,如何提高限额,信用卡临时额度与固定额度的区别,信用卡分期后额度会降低吗,我要调整临时额度,信用卡额度是不能改变的吗,怎么调整固定额度,我信用卡额度是固定的吗,可以申请降低信用卡额度吗,信用卡的额度能提高吗,为什么申请的额度与最终调整的额度不一致,为什么申请的额度与最终调整的额度不一致？,固定额度和临时额度的区别,什么是临时额度？,固定额度和临时额度介绍,固定额度和临时额度,临时额度与永久额度的区别,信用卡的额度能降低吗,0
财富之星额度会倾斜吗,dssm,“悦生活”的网址,什么是“悦生活”,交易密码,手机银行的登录密码是什么,手机银行登录密码,什么是手机银行登录密码,手机银行的登录密码想不起来了,想不起来手机银行的登录密码了,手机银行手机银行登录密码,忘记手机银行登录密码,手机银行登录密码忘了,手机银行的登录密码锁了,保险类别是什么,保险类别,保险类别有哪些,什么是保险类别？,感激涕零,电话银行的密码锁了,实物金价目表,实物金价格表,0
财富之星额度会倾斜吗,tfidf,教育储蓄存期规定,,,,,,,,,,,,,,,,,,,,0
为什么财富之星额度会有倾斜,topic,为什么申请的额度与最终调整的额度不一致？,为什么申请的额度与最终调整的额度不一致,信用卡临时额度与固定额度的区别,附卡额度可以单独设置吗？,我要调整临时额度,如何提高限额,信用卡额度是不能改变的吗,固定额度的调整方式,信用卡的额度能降低吗,ATM转账限额是指多长时间内的额度限制,额度调整的通知方式,我信用卡额度是固定的吗,什么是固定额度和临时额度,固定额度和临时额度是指啥,固定额度和临时额度的区别,临时额度与永久额度的区别,什么是临时额度？,固定额度和临时额度介绍,为何购车分期审批的额度未达到我申请的额度,固定额度和临时额度,0
为什么财富之星额度会有倾斜,dssm,“悦生活”的网址,什么是“悦生活”,手机银行登录密码,什么是手机银行登录密码,手机银行登录密码忘了,手机银行的登录密码想不起来了,想不起来手机银行的登录密码了,手机银行手机银行登录密码,忘记手机银行登录密码,手机银行的登录密码锁了,国内汽车道路救援,什么是国际结算,保险类别是什么,保险类别有哪些,保险类别,什么是保险类别？,感激涕零,电话银行的密码锁了,交易密码,手机银行的登录密码是什么,0
为什么财富之星额度会有倾斜,tfidf,教育储蓄存期规定,,,,,,,,,,,,,,,,,,,,0
财富之星额度倾斜的作用,topic,固定额度和临时额度的区别,什么是固定额度和临时额度,临时额度的调整方式,什么是临时额度？,额度调整的通知方式,如何提高限额,怎么调整固定额度,财富之星额度倾斜,调整固定额度的方法,为何购车分期审批的额度未达到我申请的额度,信用卡固定额度和临时额度,咋调整固定额度,固定额度和临时额度是指啥,临时额度与永久额度的区别,为什么申请的额度与最终调整的额度不一致,为什么申请的额度与最终调整的额度不一致？,固定额度和临时额度介绍,固定额度和临时额度,固定额度的调整方式,信用卡临时额度与固定额度的区别,0
财富之星额度倾斜的作用,dssm,什么是“悦生活”,“悦生活”的网址,啥是购车分期,购车分期是什么,购车分期是啥,什么是准贷记卡,准贷记卡是什么,手机银行一半怎样下载安装,大额存单,准贷记卡是凸面卡吗,下载安装手机银行,我想要下载安装手机银行,实物金价格表,实物金价目表,感激涕零,什么是保险类别？,保险类别有哪些,保险类别是什么,保险类别,什么是购车分期,0
财富之星额度倾斜的作用,tfidf,教育储蓄存期规定,,,,,,,,,,,,,,,,,,,,0
财富之星额度倾斜说明,topic,固定额度和临时额度介绍,什么是固定额度和临时额度,信用卡固定额度和临时额度,为何购车分期审批的额度未达到我申请的额度,怎么调整固定额度,什么是临时额度？,购车分期额度是否占用正常信用额度,咋调整固定额度,调整固定额度,财富之星额度倾斜,额度调整的通知方式,信用卡中的信用额度、可用额度、余额分别是什么意思？,固定额度和临时额度的区别,固定额度和临时额度,固定额度和临时额度是指啥,临时额度与永久额度的区别,信用卡临时额度与固定额度的区别,为什么申请的额度与最终调整的额度不一致,为什么申请的额度与最终调整的额度不一致？,如何提高限额,0
财富之星额度倾斜说明,dssm,什么是“悦生活”,“悦生活”的网址,什么是私人银行卡,私人银行卡是啥,私人银行卡是什么,身份证明,保险类别是什么,保险类别,什么是保险类别？,保险类别有哪些,什么是存本取息,存本取息,感激涕零,实物金价格表,实物金价目表,什么是建信人寿,什么是共管卡,共管卡是啥,共管卡是什么,共管卡,0
财富之星额度倾斜说明,tfidf,积分用,,,,,,,,,,,,,,,,,,,,0
大额存单的起购金额是多少,topic,乐当家理财卡（金卡/白金卡）是否有配套存折,乐当家理财卡（金卡/白金卡）可以存入哪些类型的存款,VISA卡与万事达卡的区别,乐当家理财卡（金卡/白金卡）取款密码的有多少位,VISA卡与万事达卡有什么不同,乐当家理财卡是否有配套存折,陆港通龙卡的种类有哪些？,陆港通龙卡有多少种类,什么是乐当家理财卡（金卡/白金卡）选号功能,乐当家理财卡（金卡/白金卡）在到期换卡期间能否继续使用,什么是乐当家理财卡一卡多账户功能,个人“质押贷”支用方式,陆港通龙卡有哪几种,VISA卡与万事达卡的差别是什么,乐当家理财卡（金卡/白金卡）的卡号有多少位,什么是速盈的“未付收益”,“陆港通龙卡”能否带存折（卡折并用）,乐当家理财卡有配套存折吗,什么是个人汽车贷款的利率,陆港通龙卡的种类是什么,0
大额存单的起购金额是多少,dssm,什么是“悦生活”,“悦生活”的网址,自助区电话银行可不可以打客服热线,自助区电话银行可不可以打客服电话,什么是私人银行卡,私人银行卡是什么,私人银行卡是啥,安手机银行,手机银行怎么安,私人银行的用处是什么,什么是私人银行,私人银行怎么理解,实物金价格表,实物金价目表,保险类别是什么,什么是保险类别？,保险类别有哪些,保险类别,感激涕零,什么是建信人寿,0
大额存单的起购金额是多少,tfidf,山西SWIFT代码,,,,,,,,,,,,,,,,,,,,0
大额存单的起购金额说明,topic,乐当家理财卡（金卡/白金卡）是否有配套存折,陆港通龙卡有哪几种,什么是速盈的“未付收益”,“陆港通龙卡”能否带存折（卡折并用）,出现错误代码“0690E1133002”怎么办,零存整取咋个续期,什么是乐当家理财卡一卡多账户功能,个人“质押贷”支用方式,信用卡怎么提额或者降额,乐当家理财卡是否有配套存折,VISA卡与万事达卡的区别,办云闪付流程说明,“乾元-周周利”理财产品介绍,乐当家理财卡有配套存折吗,提示“0250E2000004交易状态不确定”怎么办,“出国惠”有什么优惠活动,信用卡进度显示为“待面签”，是什么意思,银行卡一年没用了能收到转钱吗,提示“0250B2114034ERROR:客户的证件号码有误或姓名不符”怎么办,乐当家理财卡（金卡/白金卡）可以存入哪些类型的存款,0
大额存单的起购金额说明,dssm,什么是“悦生活”,“悦生活”的网址,后退,安手机银行,手机银行怎么安,什么是建信人寿,下载安装手机银行手机银行,如何下载安装手机银行,怎么下载安装手机银行,手机银行如何下载安装,手机银行怎么下载安装,手机银行下载安装,实物金价目表,实物金价格表,启用手机银行,感激涕零,什么是保险类别？,保险类别,保险类别有哪些,保险类别是什么,0
大额存单的起购金额说明,tfidf,预授权干什么,,,,,,,,,,,,,,,,,,,,0
大额存单的起购金额标准,topic,乐当家理财卡（金卡/白金卡）是否有配套存折,“麒丰龙卡”的年费标准,VISA卡与万事达卡的区别,乐当家理财卡（金卡/白金卡）在境外通过VISA/MASTERCARD网络取款的货币币种,乐当家理财卡配套存折介绍,零存整取咋个续期,“乾元-周周利”理财产品介绍,龙卡随付贷的收费标准,乐当家理财卡（金卡/白金卡）在境外进行交易时可使用的账户类型,乐当家理财卡配套存折查询,个人“质押贷”支用方式,乐当家理财卡（金卡/白金卡）选号规则,乐当家理财卡有配套存折吗,乐当家理财卡（金卡/白金卡）可以存入哪些类型的存款,陆港通龙卡有哪几种,乐当家理财卡是否有配套存折,乐当家理财卡（金卡/白金卡）在到期换卡期间能否继续使用,“陆港通龙卡”能否带存折（卡折并用）,乐当家理财卡（金卡/白金卡）的卡面颜色,乐当家理财卡配套存折,0
大额存单的起购金额标准,dssm,什么是“悦生活”,“悦生活”的网址,后退,什么是建信人寿,下载安装手机银行手机银行,什么是存本取息,存本取息,对账单是啥,什么是对账单,对账单是什么,什么是私人银行卡,私人银行卡是啥,实物金价格表,实物金价目表,什么是保险类别？,保险类别,保险类别有哪些,保险类别是什么,感激涕零,电话银行的密码锁了,0
大额存单的起购金额标准,tfidf,颐养天年子方案包括内容,,,,,,,,,,,,,,,,,,,,0
大额存单的最低起购金额,topic,乐当家理财卡（金卡/白金卡）是否有配套存折,零存整取咋个续期,定活互转,“乾元-周周利”理财产品介绍,乐当家理财卡（金卡/白金卡）的卡号有多少位,“陆港通龙卡”能否带存折（卡折并用）,出现错误代码“0690E1133002”怎么办,什么是乐当家理财卡（金卡/白金卡）选号功能,乐当家理财卡（金卡/白金卡）选号规则,乐当家理财卡（金卡/白金卡）在到期换卡期间能否继续使用,银行卡一年没用了能收到转钱吗,乐当家理财卡（金卡/白金卡）在境外通过VISA/MASTERCARD网络取款的货币币种,陆港通龙卡有哪几种,乐当家理财卡（金卡/白金卡）可以存入哪些类型的存款,乐当家理财卡有配套存折吗,什么是速盈的“未付收益”,“出国惠”有什么优惠活动,提示“0250E2000004交易状态不确定”怎么办,乐当家理财卡（金卡/白金卡）能否选号,乐当家理财卡（金卡/白金卡）的卡面颜色,0
大额存单的最低起购金额,dssm,什么是“悦生活”,“悦生活”的网址,什么是保险类别？,保险类别,如何注销龙商户,如何注销电话银行,注销电话银行,手机银行怎样注销,手机银行如何注销,手机银行注销,如何注销手机银行,注销手机银行,实物金价格表,实物金价目表,快捷支付注销,后退,手机银行咋个注销,如何注销龙支付,保险类别有哪些,保险类别是什么,0
大额存单的最低起购金额,tfidf,会帮存钱,,,,,,,,,,,,,,,,,,,,0
PAD银行账户怎样查询,topic,PAD银行账户怎样查询内容,PAD银行账户查询内容,PAD银行账户查询功能,PAD银行查询账户类型的方式,手机银行我的账户查询,我可以用PAD银行账户查询内容吗,手机银行账户查询的介绍,微信银行查询账户明细,PAD银行查询定期存款方式,手机银行如何查询账户明细,如何注销家居银行账户？,账户变动提醒微信银行,PAD银行账户怎么查询内容,PAD银行查询账户类型,PAD银行账户可否查询内容,怎样在PAD银行查询账户类型,PAD银行账户能不能查询内容,PAD银行可以查询哪些账户类型,PAD银行可以查询账户类型吗,PAD银行账户查询操作,0
PAD银行账户怎样查询,dssm,如何删除APPLE PAY绑定的龙卡,介绍下APPLE PAY,手机银行如何发起AA收款,外币票据托收小贴士,什么叫外币票据托收,外币票据托收,外币票据托收说明,如何查询AA收款的发起记录？,如何获取信用卡注册PAYPAL的四位PP码,如何获取信用卡注册PAYPAL的四位PP码？,ETC借记卡介绍,PAD 注销手机银行,PAD客户端和手机银行客户端是分别独立的吗,龙卡APPLE PAY收取费用吗,什么是龙卡APPLE PAY功能,APPLE PAY定义,外币票据托收是什么意思,APPLE PAY是什么,什么是APPLE PAY,APPLE PAY说明,0
PAD银行账户怎样查询,tfidf,三,龙,,,,,,,,,,,,,,,,,,,0
PAD银行账户查询功能说明,topic,PAD银行账户查询功能,PAD银行账户怎么查询内容,PAD银行查询账户类型的方式,PAD银行账户查询操作,我可以用PAD银行账户查询内容吗,微信银行查询账户明细功能说明,查询短信银行功能,手机银行账户查询的介绍,手机银行我的账户查询,手机银行查询功能说明,微信银行查询账户明细,怎样使用微信银行查询账户明细,PAD银行账户查询内容,PAD银行账户可否查询内容,PAD银行账户能不能查询内容,PAD银行查询账户类型,PAD银行账户怎样查询内容,PAD银行可以查询哪些账户类型,PAD银行可以查询账户类型吗,怎样在PAD银行查询账户类型,0
PAD银行账户查询功能说明,dssm,如何删除APPLE PAY绑定的龙卡,龙卡APPLE PAY收取费用吗,手机银行如何发起AA收款,外币票据托收是什么意思,什么是APPLE PAY,APPLE PAY是什么,APPLE PAY说明,如何查询发起的AA收款,出口托收是?,什么是出口托收,ATM&CRS存钱卡住钞票了,龙卡APPLE PAY网易严选营销活动,介绍下APPLE PAY,什么是龙卡APPLE PAY功能,PAD客户端和手机银行客户端是分别独立的吗,APPLE PAY定义,如何获取信用卡注册PAYPAL的四位PP码？,如何获取信用卡注册PAYPAL的四位PP码,什么是跟单出口托收,如何查询AA收款的发起记录？,0
PAD银行账户查询功能说明,tfidf,付费通,,,,,,,,,,,,,,,,,,,,0
PAD银行账户可以查到吗,topic,PAD银行可以查询账户类型吗,PAD银行账户能不能查询内容,哪些账户可以追加进手机银行,如何添加手机银行账户,PAD银行对手机银行或者网银支持吗,PAD银行支持手机银行或者网银吗,手机银行如何删除账户,PAD银行转账是免费的吗,为什么PAD银行不能登录,PAD银行查询账户类型的方式,PAD银行是否支持手机银行或者网银,PAD银行是否同时支持手机银行或者网银,PAD银行账户怎样查询内容,PAD银行账户查询内容,PAD银行账户怎么查询内容,PAD银行账户可否查询内容,怎样在PAD银行查询账户类型,PAD银行查询账户类型,PAD银行可以查询哪些账户类型,我可以用PAD银行账户查询内容吗,0
PAD银行账户可以查到吗,dssm,如何删除APPLE PAY绑定的龙卡,龙卡APPLE PAY收取费用吗,ATM&CRS上能否无卡/折取款,外币票据托收是什么意思,如何查询发起的AA收款,如何下载手机银行ANDROID版客户端？ ,PAD客户端与手机银行客户端设备绑定独立吗,ATM&CRS他行借记卡转账,龙卡APPLE PAY网易严选营销活动,AA收款短信付款有限额吗？ ,PAD客户端与手机银行客户端是否有冲突,建行手机银行ANDROID客户端适用于什么手机？,PAD客户端和手机银行客户端是分别独立的吗,ATM&CRS存钱卡住钞票了,手机银行如何发起AA收款,介绍下APPLE PAY,什么是龙卡APPLE PAY功能,IPAD AIR可以用PAD银行吗,如何查询AA收款的发起记录？,是否可以在ATM&CRS上无卡/折取款,0
PAD银行账户可以查到吗,tfidf,防,被,,,,,,,,,,,,,,,,,,,0
PAD银行账户查询方法,topic,PAD银行查询账户类型,PAD银行账户查询内容,PAD银行账户查询操作,PAD银行可以查询账户类型吗,PAD银行查询定期存款方式,如何注销家居银行账户？,PAD银行支持网银吗,PAD银行是否支持手机银行或者网银,PAD银行查看定期存款,电话银行公积金账户的查询方法,PAD银行是否同时支持手机银行或者网银,PAD银行支持手机银行或者网银吗,PAD银行账户怎样查询内容,怎样在PAD银行查询账户类型,PAD银行账户可否查询内容,PAD银行账户怎么查询内容,PAD银行查询账户类型的方式,PAD银行可以查询哪些账户类型,PAD银行账户能不能查询内容,PAD银行账户查询功能,0
PAD银行账户查询方法,dssm,如何删除APPLE PAY绑定的龙卡,PAD客户端和手机银行客户端是分别独立的吗,外币票据托收小贴士,外币票据托收,APPLE PAY是什么,什么是APPLE PAY,如何查询AA收款的发起记录？,APPLE PAY说明,ATM&CRS存钱卡住钞票了,PAD客户端与手机银行客户端是否有冲突,如何下载手机银行ANDROID版客户端？ ,绑定手机客户端会影响PAD客户端吗,介绍下APPLE PAY,龙卡APPLE PAY收取费用吗,什么是龙卡APPLE PAY功能,外币票据托收是什么意思,APPLE PAY定义,手机银行如何发起AA收款,什么叫外币票据托收,外币票据托收说明,0
PAD银行账户查询方法,tfidf,防,被,,,,,,,,,,,,,,,,,,,0
财富贷是什么,topic,保险类别介绍,龙途乐享卡介绍,保险类别是什么,什么是“新百龙卡”,什么是“金地龙卡”,什么是“三利龙卡”,查查养老金,乐当家理财卡选号规则,保险类别有哪些,为什么申请龙卡随付贷被拒绝,查养老金,龙卡随付贷的收费标准,张总的介绍,保险类别说明,ZRGFALSE,保险类别,如何介绍保险类别？,乐当家理财卡领卡周期,介绍一下张总,什么是保险类别？,0
财富贷是什么,dssm,什么是保险类别？,保险类别是什么,人工服务,我需要人工服务,实物金价目表,实物金价格表,私人银行的用处是什么,私人银行怎么理解,什么是私人银行,境外银行的联系电话,什么是“南商龙卡”,人工服务怎么走,保险类别有哪些,保险类别,什么是建信人寿,“悦生活”的网址,什么是“悦生活”,什么是私人银行卡,私人银行卡是啥,私人银行卡是什么,0
财富贷是什么,tfidf,会帮存钱,,,,,,,,,,,,,,,,,,,,0
财富贷有什么用,topic,万事达卡可以做什么,什么是“三利龙卡”,保险类别有哪些,乐当家理财卡有什么用,万事达卡的使用,什么是“百惠龙卡”,什么是E贷通,什么是E商通,什么是“粤通龙卡”,保险类别的含义,什么是团体人寿保险？,什么是“保定茂业龙卡”,什么是保险类别？,保险类别是什么,什么是“新百龙卡”,什么是“金地龙卡”,龙卡-龙卡通有什么用,万事达卡如何使用,“麒丰龙卡”如何使用,万事达卡可以在哪里使用,0
财富贷有什么用,dssm,“悦生活”的网址,什么是“悦生活”,准贷记卡有哪几种,下载安装手机银行手机银行,感激涕零,手机银行一半怎样下载安装,什么是财富卡,什么是套算汇率,手机银行下载安装,手机银行怎样下载安装,我要下载安装手机银行,怎么下载安装手机银行,保险类别有哪些,保险类别是什么,保险类别,什么是保险类别？,实物金价格表,实物金价目表,财富贷,财富之星是什么,0
财富贷有什么用,tfidf,会帮存钱,,,,,,,,,,,,,,,,,,,,0
财富贷说明,topic,保险类别说明,龙途乐享卡介绍,什么是“金地龙卡”,保险类别是什么,保险类别有哪些,如何介绍保险类别？,为什么申请龙卡随付贷被拒绝,乐当家理财卡选号规则,查查养老金,保险类别的含义,万事达卡的具体内容,查养老金,保险类别介绍,保险类别,ZRGFALSE,张总的介绍,乐当家理财卡领卡周期,什么是“三利龙卡”,什么是保险类别？,什么是“新百龙卡”,0
